first_name,male,female
CLARINDA,0.0,1.0
CLARINE,0.0,1.0
CLARIS,0.0,1.0
CLARISA,0.0,1.0
CLARISSA,0.0,1.0
CLARITA,0.0,1.0
CLARK,1.0,0.0
CLASSIE,0.0,1.0
CLAUD,1.0,0.0
CLAUDE,0.9855072463768115,0.014492753623188406
CLAUDETTE,0.0,1.0
CLAUDIA,0.0,1.0
CLAUDIE,0.0,1.0
CLAUDINE,0.0,1.0
CLAUDIO,1.0,0.0
CLAY,1.0,0.0
CLAYTON,1.0,0.0
CLELIA,0.0,1.0
CLEMENCIA,0.0,1.0
CLEMENT,1.0,0.0
CLEMENTE,1.0,0.0
CLEMENTINA,0.0,1.0
CLEMENTINE,0.0,1.0
CLEMMIE,0.0,1.0
CLEO,0.3,0.7
CLEOPATRA,0.0,1.0
CLEORA,0.0,1.0
CLEOTILDE,0.0,1.0
CLETA,0.0,1.0
CLETUS,1.0,0.0
CLEVELAND,1.0,0.0
CLIFF,1.0,0.0
CLIFFORD,1.0,0.0
CLIFTON,1.0,0.0
CLINT,1.0,0.0
CLINTON,1.0,0.0
CLORA,0.0,1.0
CLORINDA,0.0,1.0
CLOTILDE,0.0,1.0
CLYDE,0.9693877551020409,0.030612244897959186
CODI,0.0,1.0
CODY,0.9692307692307691,0.030769230769230767
COLBY,0.9,0.1
COLE,1.0,0.0
COLEEN,0.0,1.0
COLEMAN,1.0,0.0
COLENE,0.0,1.0
COLETTA,0.0,1.0
COLETTE,0.0,1.0
COLIN,1.0,0.0
COLLEEN,0.0,1.0
